NEIGHBORHOOD_NAME,PRIORITY_NEIGH,ZCTA,Indicator,N_FULLY_VACCINATED_CUMULATIVE,N_PARTIALLY_VACCINATED_CUMULATIVE,PERC_FULLY,PERC_PARTIALLY,POPULATION_ESTIMATE
Ocean Hill-Brownsville,Yes,11212,4,"1,654","1,997",3,4,"55,341"
Ozone Park,No,11416,5,639,932,3,5,"19,794"
,,11417,5,948,"1,287",4,5,"23,724"
Parkchester/Pelham Parkway/Van Nest/Westchester Square,No,10462,7,"3,294","4,067",6,7,"58,727"
Port Richmond/Randall Manor/West Brighton,Yes,10310,9,"1,635","1,483",9,9,"17,381"
Queens Village,No,11428,6,756,901,5,6,"14,738"
,Yes,11429,6,"1,835","1,679",7,6,"26,071"
Rego Park,No,11374,6,"2,106","2,257",6,6,"34,948"
Richmond Hill,No,11418,4,"1,386","1,290",5,4,"28,810"
Richmond Hill/South Ozone Park,Yes,11419,4,"1,147","1,620",3,4,"37,919"
Roosevelt Island,No,10044,6,"1,435",541,15,6,"9,832"
Rosedale,No,11422,3,766,819,3,3,"25,568"
Silver Lake/St. George,Yes,10301,8,"2,986","2,379",10,8,"30,789"
Soundview,Yes,10472,5,"1,506","2,593",3,5,"50,866"
South Jamaica/South Ozone Park,Yes,11436,3,415,485,3,3,"15,397"
South Ozone Park,Yes,11420,4,"1,241","1,531",3,4,"37,131"
St. Albans,Yes,11412,4,906,"1,083",3,4,"30,605"
Sunnyside,No,11104,6,"1,276","1,397",6,6,"21,569"
Sunset Park,Yes,11220,5,"2,600","3,402",4,5,"72,892"
,,11232,5,793,"1,006",4,5,"21,456"
Tottenville,No,10307,7,770,738,7,7,"11,247"
TriBeCa,No,10007,7,441,370,8,7,"5,573"
Upper East Side/Yorkville,No,10028,7,"5,931","2,943",15,7,"40,086"
,,10128,8,"8,001","3,727",16,8,"49,298"
Upper West Side,No,10024,9,"6,895","4,196",14,9,"48,892"
Wakefield/Woodlawn,No,10470,6,763,705,6,6,"11,836"
Washington Heights (North),Yes,10040,5,"2,790","1,877",8,5,"36,149"
Washington Heights (North)/Washington Heights (South),Yes,10033,5,"3,536","2,275",7,5,"48,323"
Washington Heights (South),Yes,10032,6,"4,692","2,898",9,6,"52,605"
Whitestone,No,11357,7,"2,166","2,331",7,7,"31,475"
Williamsburg (South),Yes,11206,4,"1,567","2,217",3,4,"62,134"
Woodhaven,Yes,11421,4,"1,035","1,322",3,4,"30,741"
Woodside,No,11377,6,"3,442","4,204",5,6,"68,557"
